#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,tenant_id,current,energy_kwh,frequency,power,power_factor,voltage,voltage_l
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:56:01Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0,0,0,0,1,0,0
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:56:21Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0,0,0,0,1,0,0
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:56:42Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0,0,49.946,0,1,0,418.99
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:57:03Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0,0,49.93,0,1,241.83,418.59
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:57:24Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0,0,49.955,0,1,241.45,418.5
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:57:44Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0.7,0,49.963,0,-0.9756,241.41,418.25
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:58:05Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0.4,0,49.955,-282.3893,-0.9749,241.59,418.32
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:58:25Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0.4,0,49.946,-285.6269,-0.976,241.47,418.42
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:58:46Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0.4,0,49.93,-286.9346,-0.9794,241.61,418.61
,,0,2026-04-08T09:35:54.425757563Z,2026-04-09T09:35:54.425757563Z,2026-04-09T06:59:07Z,device_telemetry,TD00000001,64b2f261-4d07-40e8-8d12-7cc6131a42d2,0.4,0,49.93,-281.5252,-0.9751,241.38,417.8
