#group,false,false,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,double,string,double,double,string,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,enrichment_status,schema_version,current,device_type_field,energy_kwh,frequency,location_field,power,power_factor,voltage,voltage_l
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:31:55Z,device_telemetry,TD-1,success,v1,14.4,unknown,7.1,50.155,,8047.034,0.8329,224.84,389.25
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:32:16Z,device_telemetry,TD-1,success,v1,14.38,unknown,0,50.155,,8037.855,0.8345,224.63,388.2
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:32:37Z,device_telemetry,TD-1,success,v1,14.32,unknown,0,50.155,,7999.324,0.8325,224.05,388.22
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:53:37Z,device_telemetry,TD-1,success,v1,14.38,Active-Device,0,50.046,Obeya-Kormangala,7999.952,0.8247,225.83,390.91
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:53:58Z,device_telemetry,TD-1,success,v1,14.35,Active-Device,0,50.038,Obeya-Kormangala,7984.73,0.8254,225.58,390.66
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:54:19Z,device_telemetry,TD-1,success,v1,14.34,Active-Device,0.1,50.03,Obeya-Kormangala,7976.24,0.8251,225.55,390.63
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:54:39Z,device_telemetry,TD-1,success,v1,14.38,Active-Device,0.1,50.021,Obeya-Kormangala,8017.846,0.8268,225.41,390.64
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:55:00Z,device_telemetry,TD-1,success,v1,14.35,Active-Device,0.2,50.013,Obeya-Kormangala,7966.579,0.8244,225.56,390.68
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:55:20Z,device_telemetry,TD-1,success,v1,14.33,Active-Device,0.2,50.005,Obeya-Kormangala,7962.691,0.8235,225.52,390.64
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:55:41Z,device_telemetry,TD-1,success,v1,14.32,Active-Device,0.3,49.971,Obeya-Kormangala,7953.531,0.826,225.06,389.83
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:56:02Z,device_telemetry,TD-1,success,v1,14.29,Active-Device,0.3,49.971,Obeya-Kormangala,7924.636,0.8266,224.78,389.33
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:56:23Z,device_telemetry,TD-1,success,v1,14.36,Active-Device,0.4,49.988,Obeya-Kormangala,7973.967,0.8278,224.93,389.56
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:56:44Z,device_telemetry,TD-1,success,v1,14.36,Active-Device,0.4,49.98,Obeya-Kormangala,7970.38,0.826,225,389.83
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:57:04Z,device_telemetry,TD-1,success,v1,14.39,Active-Device,0.4,49.996,Obeya-Kormangala,8013.041,0.8294,224.99,389.59
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:57:25Z,device_telemetry,TD-1,success,v1,14.36,Active-Device,0.5,49.988,Obeya-Kormangala,7985.905,0.8256,224.84,390.12
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:57:46Z,device_telemetry,TD-1,success,v1,14.36,Active-Device,0.5,49.996,Obeya-Kormangala,7970.46,0.8204,225.27,390.43
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:58:06Z,device_telemetry,TD-1,success,v1,14.51,Active-Device,0.6,49.996,Obeya-Kormangala,8049.066,0.8097,228.27,395.51
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:58:28Z,device_telemetry,TD-1,success,v1,14.53,Active-Device,0.6,50.046,Obeya-Kormangala,8032.783,0.8082,229.15,396.89
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:58:48Z,device_telemetry,TD-1,success,v1,14.51,Active-Device,0.7,50.063,Obeya-Kormangala,8031.002,0.8084,229.15,396.94
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:59:09Z,device_telemetry,TD-1,success,v1,14.52,Active-Device,0.7,50.071,Obeya-Kormangala,8049.723,0.8097,229.35,397.12
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:59:30Z,device_telemetry,TD-1,success,v1,14.55,Active-Device,0.8,50.096,Obeya-Kormangala,8072.618,0.8086,229.36,397.48
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T09:59:50Z,device_telemetry,TD-1,success,v1,14.52,Active-Device,0.8,50.088,Obeya-Kormangala,8055.32,0.8092,229.48,397.34
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T10:00:11Z,device_telemetry,TD-1,success,v1,14.53,Active-Device,0.9,50.113,Obeya-Kormangala,8049.73,0.8081,229.49,397.54
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T10:00:32Z,device_telemetry,TD-1,success,v1,14.54,Active-Device,0.9,50.13,Obeya-Kormangala,8054.532,0.8063,229.88,398.07
,,0,2026-03-26T09:30:00Z,2026-03-26T12:00:00Z,2026-03-26T10:00:53Z,device_telemetry,TD-1,success,v1,14.55,Active-Device,1,50.13,Obeya-Kormangala,8068.024,0.8069,230.1,398.32
